DANH SÁCH TOẠ ĐỘ VÀ ĐỘ DỊCH CHUYỂN PIXEL GIỮA 2 ẢNH
==========================================================================================
STT   X1 (Ảnh 1)     Y1 (Ảnh 1)     X2 (Ảnh 2)     Y2 (Ảnh 2)     Dịch chuyển (Pixel) 
------------------------------------------------------------------------------------------
1     132.42         451.56         184.08         441.44         52.64               
2     158.01         474.07         208.14         464.88         50.97               
3     184.48         130.23         239.89         129.63         55.41               
4     187.96         460.83         235.88         454.38         48.35               
5     190.99         387.01         239.80         381.46         49.12               
6     193.34         429.61         241.73         423.32         48.81               
7     193.34         429.61         241.73         423.32         48.81               
8     193.64         433.11         241.50         427.10         48.23               
9     194.30         359.86         243.74         355.15         49.67               
10    197.10         428.93         243.99         424.49         47.10               
11    198.39         453.88         246.00         447.99         47.97               
12    198.59         446.05         246.67         439.78         48.48               
13    199.03         344.41         248.58         340.18         49.74               
14    199.03         344.41         248.58         340.18         49.74               
15    199.04         227.90         250.77         226.00         51.76               
16    200.12         372.63         247.97         368.76         48.01               
17    200.12         372.63         247.97         368.76         48.01               
18    202.42         419.01         250.37         413.51         48.27               
19    204.42         228.82         256.19         227.09         51.80               
20    204.52         229.08         256.19         227.09         51.71               
21    204.57         346.45         253.95         342.25         49.56               
22    205.30         442.60         252.84         436.89         47.88               
23    205.51         419.12         253.49         413.63         48.29               
24    206.58         258.38         257.10         255.74         50.59               
25    207.24         374.17         255.65         370.02         48.58               
26    207.95         250.27         258.89         247.99         50.98               
27    210.66         282.76         260.45         280.14         49.86               
28    212.02         261.29         262.33         258.42         50.40               
29    213.89         410.52         261.60         405.87         47.93               
30    215.14         428.33         261.97         423.70         47.05               
31    216.12         285.89         265.92         283.99         49.83               
32    218.31         301.60         267.59         298.59         49.38               
33    221.36         319.06         270.11         316.16         48.84               
34    222.61         348.85         270.83         345.84         48.31               
35    226.11         409.36         274.08         404.93         48.18               
36    226.48         343.49         274.80         340.37         48.42               
37    227.56         324.39         276.85         321.56         49.38               
38    227.68         340.61         276.54         337.74         48.94               
39    228.28         305.90         277.12         303.15         48.92               
40    230.82         411.25         277.91         407.53         47.24               
41    235.36         323.95         284.41         321.50         49.11               
42    240.23         348.31         287.51         346.12         47.33               
43    245.01         387.40         292.16         384.90         47.22               
44    246.41         348.37         294.13         346.36         47.76               
45    247.91         317.60         296.53         315.95         48.65               
46    249.97         359.59         297.11         357.90         47.16               
47    251.09         354.08         298.30         352.46         47.25               
48    251.65         344.88         299.07         343.33         47.45               
49    251.67         348.67         298.77         347.07         47.13               
50    253.21         319.74         301.95         318.06         48.76               
51    254.02         310.95         302.47         309.50         48.47               
52    254.29         390.64         301.15         388.25         46.93               
53    254.68         338.91         302.04         337.45         47.38               
54    255.04         332.79         302.51         331.57         47.49               
55    255.04         332.79         302.51         331.57         47.49               
56    260.62         306.90         308.36         305.81         47.76               
57    260.74         325.15         307.66         324.26         46.93               
58    263.17         316.92         311.30         315.89         48.14               
59    267.78         369.54         315.37         368.16         47.61               
60    270.65         398.94         317.99         398.42         47.35               
61    275.55         314.09         323.02         313.76         47.46               
62    275.88         381.04         322.65         379.97         46.78               
63    277.05         154.19         329.56         153.93         52.51               
64    277.59         362.26         325.04         361.27         47.46               
65    281.77         321.97         328.41         322.33         46.64               
66    287.33         324.48         334.26         324.64         46.93               
67    290.86         332.58         339.47         332.17         48.61               
68    291.10         326.81         338.62         326.90         47.52               
69    291.10         326.81         338.62         326.90         47.52               
70    294.26         363.23         343.49         360.18         49.33               
71    297.38         343.16         344.47         343.40         47.09               
72    298.31         323.03         345.94         323.49         47.63               
73    305.97         379.24         354.91         379.16         48.94               
74    308.86         333.63         356.46         334.36         47.61               
75    308.86         333.63         356.46         334.36         47.61               
76    309.17         333.83         356.46         334.36         47.29               
77    309.17         333.83         356.85         334.70         47.69               
78    310.03         321.38         359.25         321.92         49.22               
79    310.06         323.55         357.70         324.47         47.65               
80    310.16         371.94         359.67         373.02         49.53               
81    310.46         209.69         361.13         209.87         50.67               
82    310.74         328.28         358.23         329.32         47.51               
83    311.00         358.33         360.63         358.20         49.63               
84    316.73         294.33         369.75         294.23         53.02               
85    320.43         446.15         367.86         446.43         47.43               
86    322.15         307.43         375.03         308.10         52.88               
87    322.22         346.61         372.71         349.41         50.57               
88    327.07         331.16         377.63         331.98         50.57               
89    327.07         331.16         377.63         331.98         50.57               
90    327.25         316.31         379.13         316.93         51.88               
91    327.93         454.94         373.94         456.80         46.05               
92    334.13         272.23         385.02         271.30         50.89               
93    336.85         445.87         384.08         448.21         47.29               
94    337.00         250.14         389.65         253.08         52.74               
95    340.48         348.09         392.24         352.12         51.92               
96    357.14         313.11         408.33         314.51         51.20               
97    357.20         300.24         408.01         302.47         50.86               
98    364.52         289.88         414.82         292.69         50.38               
99    367.31         469.38         413.39         471.63         46.14               
100   368.80         328.19         420.92         331.61         52.23               
101   369.35         328.32         420.92         331.61         51.67               
102   370.83         306.58         420.56         309.65         49.82               
103   372.05         309.17         421.52         312.40         49.58               
104   374.92         347.05         428.08         350.53         53.28               
105   376.85         331.52         430.08         334.43         53.31               
106   379.98         315.78         428.96         319.69         49.13               
107   384.18         329.01         433.66         332.99         49.64               
108   385.33         308.51         435.11         312.35         49.92               
109   386.02         371.61         439.99         375.90         54.13               
110   386.03         356.35         438.69         360.28         52.81               
111   388.36         294.52         440.28         298.36         52.06               
112   389.54         328.09         439.23         332.54         49.89               
113   390.04         300.67         439.75         304.37         49.85               
114   394.89         304.00         445.01         308.01         50.27               
115   396.40         296.43         447.10         300.30         50.85               
116   401.45         309.63         451.99         314.12         50.74               
117   405.82         354.28         455.71         359.58         50.17               
118   405.88         389.56         460.30         394.70         54.67               
119   409.21         351.43         459.65         357.03         50.74               
120   411.50         364.92         463.09         370.02         51.84               
121   411.80         364.41         463.09         370.02         51.60               
122   412.07         290.55         463.18         295.07         51.32               
123   413.55         389.64         464.67         391.23         51.14               
124   414.04         337.14         465.31         342.76         51.58               
125   415.50         376.94         468.29         382.75         53.10               
126   415.94         294.12         468.46         298.57         52.71               
127   428.52         273.77         481.48         278.79         53.19               
128   428.82         330.13         480.85         336.15         52.38               
129   429.92         279.36         483.91         283.93         54.19               
130   434.17         41.33          494.62         41.45          60.44               
131   435.58         285.44         488.15         290.62         52.82               
132   435.92         271.99         489.53         276.57         53.80               
133   435.92         271.99         489.53         276.57         53.80               
134   440.58         196.63         496.54         199.08         56.02               
135   441.80         278.70         495.17         283.85         53.62               
136   442.19         111.73         501.59         112.10         59.40               
137   442.19         270.43         495.83         275.12         53.85               
138   442.55         111.92         501.59         112.10         59.04               
139   442.60         260.31         496.55         264.95         54.15               
140   442.87         101.35         502.04         101.22         59.17               
141   443.00         107.37         501.92         107.53         58.92               
142   443.07         232.63         497.98         236.72         55.06               
143   443.27         101.22         502.40         101.17         59.13               
144   443.37         89.53          502.86         89.46          59.50               
145   443.65         47.80          504.21         47.09          60.56               
146   443.75         28.58          504.85         27.31          61.11               
147   443.86         76.69          503.50         76.46          59.64               
148   444.27         339.67         496.70         346.75         52.91               
149   444.31         42.28          504.60         40.84          60.30               
150   444.44         23.17          505.82         22.35          61.39               
151   446.30         344.51         498.50         351.47         52.66               
152   446.47         63.00          506.49         62.37          60.02               
153   446.47         63.00          506.49         62.37          60.02               
154   446.61         86.95          506.11         86.45          59.51               
155   446.61         86.95          506.11         86.45          59.51               
156   446.66         75.03          506.36         74.94          59.70               
157   446.74         80.29          506.41         80.24          59.68               
158   446.75         46.08          507.15         44.92          60.41               
159   446.75         46.08          507.15         44.92          60.41               
160   446.85         39.37          507.49         38.38          60.65               
161   446.85         39.37          507.49         38.38          60.65               
162   447.00         108.82         505.93         108.97         58.92               
163   447.00         108.82         505.93         108.97         58.92               
164   447.01         120.91         505.61         121.56         58.61               
165   447.01         120.91         505.61         121.56         58.61               
166   447.15         114.75         505.93         114.86         58.78               
167   447.15         114.75         505.93         114.86         58.78               
168   447.82         220.97         503.52         224.51         55.81               
169   448.07         216.22         503.96         218.80         55.95               
170   448.83         283.66         503.95         288.85         55.37               
171   451.23         28.06          512.22         26.36          61.01               
172   451.60         243.64         506.92         246.51         55.39               
173   452.36         209.72         508.66         212.96         56.39               
174   454.67         143.79         513.02         144.73         58.36               
175   454.82         263.30         509.62         268.41         55.04               
176   455.18         115.69         514.16         116.24         58.98               
177   455.19         125.58         513.92         126.80         58.75               
178   455.34         102.21         514.71         102.04         59.37               
179   455.51         126.57         514.49         127.10         58.99               
180   455.84         115.40         515.08         115.98         59.25               
181   456.30         93.02          516.26         92.77          59.96               
182   456.39         82.12          516.59         81.75          60.21               
183   457.99         51.72          518.87         50.69          60.89               
184   458.43         275.75         512.13         280.86         53.94               
185   461.33         282.71         514.56         289.05         53.61               
186   461.38         36.34          522.37         35.16          61.00               
187   472.18         422.05         526.00         431.84         54.70               
188   474.60         298.68         530.09         305.22         55.87               
189   474.98         431.94         529.12         440.82         54.87               
190   475.70         281.26         531.42         287.29         56.05               
191   475.76         291.97         530.75         298.19         55.34               
192   479.03         343.86         534.03         352.14         55.62               
193   482.36         322.02         538.40         330.11         56.62               
194   483.30         348.66         538.04         357.37         55.43               
195   485.02         298.75         541.28         305.87         56.71               
196   485.45         399.12         539.97         410.04         55.60               
197   485.85         293.99         541.02         300.99         55.61               
198   487.03         330.13         542.39         338.40         55.97               
199   487.64         287.66         544.04         294.48         56.82               
200   490.92         297.00         547.31         304.30         56.86               
201   491.05         274.80         547.58         281.18         56.88               
202   492.82         267.97         549.96         273.76         57.43               
203   492.83         405.84         547.47         416.70         55.71               
204   492.88         336.91         548.70         345.67         56.51               
205   497.21         310.63         553.83         318.94         57.23               
206   497.49         431.92         551.47         444.03         55.32               
207   497.78         301.86         554.61         309.71         57.37               
208   498.28         338.37         555.00         348.48         57.61               
209   498.65         351.92         553.16         365.62         56.21               
210   499.12         411.16         553.86         422.34         55.87               
211   499.12         411.16         553.86         422.34         55.87               
212   500.41         443.73         554.93         455.92         55.87               
213   500.42         439.10         554.06         451.07         54.96               
214   501.19         413.32         559.94         425.73         60.05               
215   501.33         390.26         556.57         400.95         56.26               
216   502.88         334.19         560.36         343.64         58.24               
217   505.70         340.87         562.91         350.44         58.01               
218   505.70         340.87         562.91         350.44         58.01               
219   505.98         299.15         563.36         307.17         57.94               
220   506.20         389.42         561.70         400.59         56.61               
221   507.28         287.72         564.09         295.88         57.39               
222   508.66         295.41         566.48         303.34         58.36               
223   510.16         320.50         567.78         329.97         58.40               
224   511.77         412.39         566.88         424.80         56.50               
225   512.57         422.99         567.47         435.05         56.21               
226   513.33         323.28         571.53         332.43         58.92               
227   514.97         341.81         572.16         351.99         58.09               
228   516.22         299.65         574.71         308.69         59.19               
229   516.85         418.16         571.54         430.56         56.08               
230   517.54         390.55         573.84         400.94         57.25               
231   518.03         428.78         574.33         442.50         57.95               
232   519.26         412.24         575.16         424.96         57.32               
233   520.01         452.11         574.80         466.11         56.55               
234   520.72         278.86         579.30         285.51         58.96               
235   522.51         321.03         581.04         330.03         59.22               
236   522.51         321.03         581.04         330.03         59.22               
237   523.77         403.14         578.90         415.54         56.51               
238   524.08         294.83         583.60         303.84         60.20               
239   524.37         298.90         584.27         307.94         60.58               
240   526.39         451.99         581.48         465.88         56.81               
241   528.71         433.82         584.77         447.01         57.59               
242   529.30         412.32         585.86         425.44         58.06               
243   530.40         274.81         588.38         283.03         58.56               
244   530.87         423.29         587.43         436.67         58.11               
245   530.87         423.29         587.43         436.67         58.11               
246   531.36         307.00         591.34         319.34         61.23               
247   532.85         316.22         594.39         328.23         62.70               
248   533.64         284.61         596.46         292.46         63.31               
249   533.81         433.99         590.00         447.73         57.85               
250   535.50         116.07         599.61         117.65         64.13               
251   535.50         116.07         599.61         117.65         64.13               
252   535.59         397.45         592.89         410.34         58.74               
253   535.70         444.29         591.80         458.85         57.95               
254   535.95         406.34         593.09         419.36         58.60               
255   536.02         303.70         595.18         315.43         60.31               
256   536.84         451.93         592.70         466.44         57.71               
257   536.90         414.48         593.82         427.83         58.46               
258   537.02         401.94         592.89         410.34         56.50               
259   538.23         446.85         594.18         461.63         57.86               
260   539.87         444.97         596.13         459.91         58.21               
261   542.24         316.32         602.44         326.44         61.05               
262   543.40         304.32         603.34         314.03         60.72               
263   547.81         309.07         608.28         318.96         61.28               
264   548.67         342.83         609.85         353.58         62.12               
265   550.00         315.07         611.06         325.31         61.91               
266   553.60         302.03         615.15         311.70         62.31               
267   554.95         458.29         610.94         474.41         58.27               
268   557.71         432.06         615.81         447.18         60.03               
269   559.01         417.98         616.96         432.19         59.67               
270   559.39         341.67         620.44         352.81         62.05               
271   560.45         291.38         623.51         301.42         63.85               
272   560.81         333.26         620.35         343.90         60.48               
273   561.41         351.45         621.34         361.28         60.74               
274   565.74         297.36         628.05         307.24         63.09               
275   567.02         308.62         629.18         318.99         63.01               
276   570.04         328.31         631.51         339.87         62.55               
277   570.90         271.42         633.83         279.94         63.51               
278   571.09         423.94         629.37         439.35         60.29               
279   573.81         343.09         635.23         355.61         62.68               
==========================================================================================
📊 TỔNG KẾT THÔNG SỐ THỰC TẾ:
- Tổng số điểm khớp chính xác thu được: 279 điểm.
- Độ dịch chuyển trung bình của vật thể: 54.24 pixels.
