DANH SÁCH TOẠ ĐỘ VÀ ĐỘ DỊCH CHUYỂN PIXEL GIỮA 2 ẢNH
==========================================================================================
STT   X1 (Ảnh 1)     Y1 (Ảnh 1)     X2 (Ảnh 2)     Y2 (Ảnh 2)     Dịch chuyển (Pixel) 
------------------------------------------------------------------------------------------
1     135.12         434.64         160.35         326.95         110.60              
2     137.45         430.14         162.44         321.99         111.00              
3     138.69         398.83         160.88         292.84         108.29              
4     139.39         417.88         163.10         311.03         109.45              
5     146.33         429.47         170.30         321.27         110.82              
6     151.24         419.90         174.88         312.62         109.85              
7     173.17         465.34         199.17         348.60         119.60              
8     175.65         456.58         203.96         338.67         121.26              
9     175.65         456.58         203.96         338.67         121.26              
10    194.08         456.99         221.50         338.02         122.09              
11    202.52         431.91         224.07         318.73         115.22              
12    210.33         434.77         230.59         321.97         114.60              
13    217.83         441.61         236.93         328.42         114.80              
14    299.49         368.97         313.78         260.60         109.31              
15    302.64         401.72         317.22         290.96         111.71              
16    305.46         424.40         321.86         311.93         113.66              
17    310.10         438.44         324.67         323.07         116.29              
18    319.31         445.96         335.21         327.99         119.04              
19    324.19         449.59         340.24         330.96         119.71              
20    325.32         412.36         339.52         299.44         113.81              
21    331.19         406.83         345.62         294.85         112.90              
22    336.59         422.14         351.21         307.88         115.19              
23    337.21         414.79         351.70         301.48         114.24              
24    340.26         420.27         353.91         304.85         116.23              
25    340.64         405.07         354.12         293.46         112.43              
26    348.57         455.92         364.48         334.92         122.05              
27    352.41         403.25         366.49         291.10         113.03              
28    353.77         391.15         367.18         279.70         112.25              
29    366.00         387.86         379.06         276.18         112.44              
30    368.28         307.01         383.24         199.42         108.63              
31    369.60         379.77         382.63         268.81         111.73              
32    369.64         307.19         383.24         199.42         108.62              
33    370.69         286.58         382.69         178.16         109.07              
34    370.87         394.46         383.41         282.35         112.81              
35    370.88         369.54         383.36         259.55         110.70              
36    371.73         337.41         384.00         227.04         111.04              
37    371.74         327.95         384.00         218.82         109.82              
38    371.76         319.35         383.96         209.14         110.88              
39    373.19         229.90         383.91         116.64         113.76              
40    373.40         297.75         384.28         188.73         109.56              
41    375.36         173.78         385.12         55.89          118.30              
42    375.91         201.99         386.22         85.91          116.53              
43    375.91         201.99         386.22         85.91          116.53              
44    376.70         386.87         389.49         275.14         112.46              
45    377.75         270.81         388.96         159.83         111.55              
46    377.75         270.81         388.96         159.83         111.55              
47    377.86         249.27         388.78         137.84         111.97              
48    377.86         249.27         388.78         137.84         111.97              
49    381.27         458.23         393.55         335.34         123.50              
50    381.55         306.27         393.91         199.30         107.69              
51    384.07         392.22         396.44         279.73         113.17              
52    384.66         206.70         395.14         92.34          114.84              
53    384.67         165.49         394.38         45.49          120.40              
54    384.99         237.58         395.93         124.85         113.26              
55    385.32         297.36         396.66         188.91         109.03              
56    385.68         154.58         395.38         33.17          121.79              
57    386.72         377.05         398.85         266.13         111.58              
58    395.35         453.62         407.73         331.51         122.74              
59    410.69         443.76         422.82         322.09         122.28              
60    411.35         403.03         422.89         287.79         115.82              
61    421.63         397.11         433.92         282.14         115.62              
62    422.71         446.50         433.93         323.88         123.13              
63    422.71         446.50         433.93         323.88         123.13              
64    424.55         382.99         436.19         269.69         113.90              
65    431.80         412.34         443.09         295.38         117.51              
66    434.57         456.96         444.59         331.94         125.42              
67    440.57         409.44         451.09         292.81         117.11              
68    446.66         377.57         457.04         263.62         114.42              
69    454.75         435.42         466.48         312.18         123.80              
70    454.75         435.42         466.48         312.18         123.80              
71    484.95         417.28         495.52         293.21         124.52              
72    490.02         426.92         499.86         302.87         124.44              
73    497.43         412.13         506.10         288.29         124.15              
74    499.91         430.12         509.51         305.81         124.68              
75    504.33         441.36         513.84         316.47         125.25              
76    504.33         441.36         513.84         316.47         125.25              
77    508.45         418.04         517.24         293.93         124.43              
78    508.89         435.06         518.28         310.74         124.68              
79    514.56         434.77         523.27         309.58         125.50              
80    520.99         461.96         529.27         334.85         127.39              
81    522.31         439.59         531.36         314.15         125.77              
82    522.32         451.86         531.35         325.92         126.26              
83    527.36         426.91         536.85         302.05         125.22              
84    527.73         376.80         539.44         259.33         118.06              
85    532.77         467.17         542.29         338.88         128.65              
86    547.30         463.79         554.82         335.63         128.38              
87    549.94         450.17         557.81         322.88         127.53              
88    554.66         406.02         565.22         286.46         120.02              
89    557.73         458.32         566.31         330.19         128.42              
90    558.43         399.73         568.36         280.35         119.79              
91    559.21         401.98         568.67         281.85         120.49              
92    564.22         469.01         571.92         339.86         129.37              
93    568.36         394.69         579.00         274.48         120.68              
94    568.69         376.89         578.99         255.90         121.43              
95    568.99         406.84         578.90         286.09         121.15              
96    604.92         368.09         618.05         247.45         121.35              
97    615.65         398.64         624.95         274.65         124.34              
98    624.09         413.39         631.83         286.66         126.96              
==========================================================================================
📊 TỔNG KẾT THÔNG SỐ THỰC TẾ:
- Tổng số điểm khớp chính xác thu được: 98 điểm.
- Độ dịch chuyển trung bình của vật thể: 117.64 pixels.
